Phase,Category,Item,Owner,Deadline,Status,Module,Risk,Notes
4+ Weeks Out,Event Concept,Define primary objective (brand awareness / content / sales / partnerships / press),Founders,,Not Started,Core,,
4+ Weeks Out,Event Concept,Confirm event type and format,,,,Core,,
4+ Weeks Out,Event Concept,Set target audience + expected attendance,,,,Core,,
4+ Weeks Out,Event Concept,Define success metrics,,,,Core,,
4+ Weeks Out,Event Concept,Confirm dates and duration,,,,Core,,
4+ Weeks Out,Event Concept,Assign ONE decision-maker per workstream,,,,Core,HIGH,Past: 4 people needed consensus on WA. One decider per category.
4+ Weeks Out,Event Concept,Create master event brief (single source of truth),,,,Core,HIGH,Past: no central doc. Decisions lived in WA and got lost.
4+ Weeks Out,Event Concept,Set key milestone dates (design freeze / vendor lock / print deadline),,,,Core,,
4+ Weeks Out,Venue,Shortlist venues and confirm brand-fit,,,,Core,HIGH,"London: venue almost cancelled for ""immoral"" products. Disclose brand upfront."
4+ Weeks Out,Venue,Review contracts (morality/cancellation clauses),,,,Core,,
4+ Weeks Out,Venue,Confirm capacity and fire regulations,,,,Core,,
4+ Weeks Out,Venue,Get floor plan with dimensions,,,,Core,,
4+ Weeks Out,Venue,Confirm load-in/load-out times,,,,Core,,London: florist needed 2hrs but venue gave 1hr. Negotiate.
4+ Weeks Out,Venue,"Check: power / WiFi / AV / sound / parking / loading bay",,,,Core,,
4+ Weeks Out,Venue,Confirm storage on-site or nearby,,,,Core,,
4+ Weeks Out,Venue,Get venue furniture catalogue,,,,Core,,
4+ Weeks Out,Venue,Sign contract and pay deposit,,,,Core,,
4+ Weeks Out,Budget,Create budget spreadsheet with line items,Finance,,,Core,,
4+ Weeks Out,Budget,Set spending authority per person,,,,Core,HIGH,"London: 1K sofa needed auth at 11pm, 2-min window."
4+ Weeks Out,Budget,Set up payment method for on-ground team,,,,Core,,Card holder must be in event timezone.
4+ Weeks Out,Budget,Brief finance team on event dates,,,,Core,,
4+ Weeks Out,Budget,Distribute invoice template to vendors,,,,Core,,
4+ Weeks Out,Budget,Pre-authorize expected large expenses,,,,Core,,
4+ Weeks Out,Team & Roles,Define org chart with workstream owners,,,,Core,HIGH,"Both events: unclear roles. Every person must know their lane."
4+ Weeks Out,Team & Roles,"Assign workstream leads (Creative / Logistics / Content / Talent / Finance / PR)",,,,Core,,
4+ Weeks Out,Team & Roles,Confirm event agency and scope,,,,Core,,
4+ Weeks Out,Team & Roles,Confirm videographer + editor(s) with clear brief,,,,Core,HIGH,London: editor uploaded footage instead of editing.
4+ Weeks Out,Team & Roles,Recruit volunteers and confirm headcount,,,,Core,,
4+ Weeks Out,Team & Roles,Assign single contact per external vendor,,,,Core,,
4+ Weeks Out,Legal,Event insurance (public liability),,,,Core,,
4+ Weeks Out,Legal,"Permits: street trading / temporary event notice / parking",,,,Core,,
4+ Weeks Out,Legal,Alcohol licensing,,,,Core,,
4+ Weeks Out,Legal,Food safety compliance,,,,Core,,
4+ Weeks Out,Legal,Talent/creator contracts (usage rights),,,,Core,,
4+ Weeks Out,Legal,Music licensing,,,,Core,,
4+ Weeks Out,Legal,Data collection compliance (GDPR),,,,Core,,
4+ Weeks Out,PR & Press,Define press angle / story,,,,Core,,
4+ Weeks Out,PR & Press,Build press list and send invitations,,,,Core,,
4+ Weeks Out,PR & Press,"Prepare press kit (one-pager / images / spokesperson)",,,,Core,,
4+ Weeks Out,PR & Press,Prepare shot list for press photographers,,,,Core,,
4+ Weeks Out,PR & Press,Identify VIP guests with press value,,,,Core,,
4+ Weeks Out,PR & Press,Designate press liaison for event day,,,,Core,,
4+ Weeks Out,Dinner Planning,Confirm restaurant and private dining capacity,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Set guest count target,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Build curated guest list with RSVP deadline,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Plan seating arrangement,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Confirm menu with restaurant,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Collect dietary requirements,,,,Dinner,,
4+ Weeks Out,Dinner Planning,Plan table dressing / centerpieces,,,,Dinner,,
4+ Weeks Out,Dinner Planning,"Plan welcome moment (signage / host / greeting)",,,,Dinner,,
4+ Weeks Out,Dinner Planning,"Plan speeches/toasts (who / when / about what)",,,,Dinner,,
4+ Weeks Out,Dinner Planning,Plan gift bags for dinner guests,,,,Dinner,,
4+ Weeks Out,Guerrilla Planning,"Define concept (truck / cart / team on foot)",,,,Guerrilla,,
4+ Weeks Out,Guerrilla Planning,Scout locations by footfall (7+ days out),,,,Guerrilla,HIGH,London: scouted night before at midnight. Do early.
4+ Weeks Out,Guerrilla Planning,"Check local regs (licenses / permits / parking)",,,,Guerrilla,,
4+ Weeks Out,Guerrilla Planning,If vehicle: confirm driveable or needs towing,,,,Guerrilla,HIGH,
4+ Weeks Out,Guerrilla Planning,"Plan route: locations / order / time per stop",,,,Guerrilla,,
